country_name;iso_code;income_group;continent;region;ed_expenditure;mig_rate;youth_unempl_rate
San Marino;SMR;High income;Europe;Southern Europe;3,6;6,6;27,4
Senegal;SEN;Lower middle income;Africa;Sub-Saharan Africa;4,8;-1,3;8,1
Serbia;SRB;Upper middle income;Europe;Southern Europe;3,6;0;29,7
Seychelles;SYC;High income;Africa;Sub-Saharan Africa;4,4;1;11,6
Sierra Leone;SLE;Low income;Africa;Sub-Saharan Africa;7,7;-1,2;9,4
Singapore;SGP;High income;Asia;South-eastern Asia;2,9;11,8;9,1
Slovakia;SVK;High income;Europe;Eastern Europe;3,9;0,2;14,9
Slovenia;SVN;High income;Europe;Southern Europe;4,8;1,5;8,8
Solomon Islands;SLB;Lower middle income;Oceania;Melanesia;9,9;-1,6;1,3
South Africa;ZAF;Upper middle income;Africa;Sub-Saharan Africa;6,5;-0,2;53,4
South Korea;KOR;High income;Asia;Eastern Asia;4,3;2,3;10,2
South Sudan;SSD;Low income;Africa;Sub-Saharan Africa;1,5;0,2;38,6
Spain;ESP;High income;Europe;Southern Europe;4,2;7;34,3
Sri Lanka;LKA;Lower middle income;Asia;Southern Asia;2,1;-1,3;21
St. Kitts & Nevis;KNA;High income;Americas;Latin America and the Caribbean;2,6;1,2;.
St. Lucia;LCA;Upper middle income;Americas;Latin America and the Caribbean;3,3;-1,7;46,2
St. Vincent & Grenadines;VCT;Upper middle income;Americas;Latin America and the Caribbean;5,7;-7,2;.
Sweden;SWE;High income;Europe;Northern Europe;7,6;5,2;16,8
Switzerland;CHE;High income;Europe;Western Europe;5,1;4,6;7,9
São Tomé & Príncipe;STP;Lower middle income;Africa;Sub-Saharan Africa;5,1;-7,9;20,8
Tajikistan;TJK;Lower middle income;Asia;Central Asia;5,2;-1,1;.
Tanzania;TZA;Lower middle income;Africa;Sub-Saharan Africa;3,4;-0,4;3,9
Thailand;THA;Upper middle income;Asia;South-eastern Asia;4,1;0;3,7
Timor-Leste;TLS;Lower middle income;Asia;South-eastern Asia;6,8;-3,9;13,2
Togo;TGO;Low income;Africa;Sub-Saharan Africa;5,4;0;3,9
Tunisia;TUN;Lower middle income;Africa;Northern Africa;6,6;-1,4;35
Turkey;TUR;Upper middle income;Asia;Western Asia;4,3;-4,3;20,2
Turkmenistan;TKM;Upper middle income;Asia;Central Asia;3,1;-1,7;.
Turks & Caicos Islands;TCA;High income;Americas;Latin America and the Caribbean;2,9;8,9;.
Uganda;UGA;Low income;Africa;Sub-Saharan Africa;2,1;-3,5;14,8
Ukraine;UKR;Upper middle income;Europe;Eastern Europe;5,4;2,3;17,9
United Kingdom;GBR;High income;Europe;Northern Europe;5,4;2,5;11,3
United States;USA;High income;Americas;Northern America;5;3;8,6
Uruguay;URY;High income;Americas;Latin America and the Caribbean;5;-0,9;25,9
Uzbekistan;UZB;Lower middle income;Asia;Central Asia;5,3;-1,9;.
Vanuatu;VUT;Lower middle income;Oceania;Melanesia;4,5;-1,3;.
Vietnam;VNM;Lower middle income;Asia;South-eastern Asia;4,2;-0,3;6,9
West Bank;PSE;Lower middle income;Asia;Western Asia;5,3;-4,2;42,2
Zambia;ZMB;Lower middle income;Africa;Sub-Saharan Africa;4,6;0;24
Zimbabwe;ZWE;Lower middle income;Africa;Sub-Saharan Africa;5,9;-5;16,5
Algeria;DZA;Upper middle income;Africa;Northern Africa;.;-0,9;39,3
American Samoa;ASM;High income;Oceania;Polynesia;.;-26,1;.
Anguilla;AIA;.;Americas;Latin America and the Caribbean;.;11,1;.
Antigua & Barbuda;ATG;High income;Americas;Latin America and the Caribbean;.;2,1;.
Bahamas;BHS;High income;Americas;Latin America and the Caribbean;.;0;25,8
Bosnia & Herzegovina;BIH;Upper middle income;Europe;Southern Europe;.;-0,4;33,8
Botswana;BWA;Upper middle income;Africa;Sub-Saharan Africa;.;2,9;36
Cayman Islands;CYM;High income;Americas;Latin America and the Caribbean;.;13;13,8
China;CHN;Upper middle income;Asia;Eastern Asia;.;-0,4;.
Dominican Republic;DOM;Upper middle income;Americas;Latin America and the Caribbean;.;-2,7;13,5
Egypt;EGY;Lower middle income;Africa;Northern Africa;.;-0,3;29,6
Equatorial Guinea;GNQ;Upper middle income;Africa;Sub-Saharan Africa;.;0;.
Eritrea;ERI;Low income;Africa;Sub-Saharan Africa;.;-11,6;.
Faroe Islands;FRO;High income;Europe;Northern Europe;.;0;.
French Polynesia;PYF;High income;Oceania;Polynesia;.;-0,7;56,7
Gibraltar;GIB;High income;Europe;Southern Europe;.;-3,3;.
Greece;GRC;High income;Europe;Southern Europe;.;0,9;39,9
Greenland;GRL;High income;Americas;Northern America;.;-6;.
Guam;GUM;High income;Oceania;Micronesia;.;-11;29,4
Guernsey;GGY;.;Europe;Northern Europe;.;1,9;.
Iraq;IRQ;Upper middle income;Asia;Western Asia;.;-0,5;25,6
Isle of Man;IMN;High income;Europe;Northern Europe;.;5,2;10,1
Jersey;JEY;.;Europe;Northern Europe;.;2,3;.
Kiribati;KIR;Lower middle income;Oceania;Micronesia;.;-2,8;17,1
Kosovo;XKX;Upper middle income;.;.;.;-1,8;55,4
Kuwait;KWT;High income;Asia;Western Asia;.;-3,3;15,4
Libya;LBY;Upper middle income;Africa;Northern Africa;.;-0,7;48,7
Marshall Islands;MHL;Upper middle income;Oceania;Micronesia;.;-4,5;11
Montenegro;MNE;Upper middle income;Europe;Southern Europe;.;-4,9;29,4
Morocco;MAR;Lower middle income;Africa;Northern Africa;.;-1,9;22,2
Nauru;NRU;High income;Oceania;Micronesia;.;-11,3;26,6
New Caledonia;NCL;High income;Oceania;Melanesia;.;3,8;38,4
Nigeria;NGA;Lower middle income;Africa;Sub-Saharan Africa;.;-0,2;13,8
North Korea;PRK;Low income;Asia;Eastern Asia;.;0;.
North Macedonia;MKD;Upper middle income;Europe;Southern Europe;.;0,4;45,4
Northern Mariana Islands;MNP;High income;Oceania;Micronesia;.;-15,4;.
Palau;PLW;High income;Oceania;Micronesia;.;0,9;5,6
Philippines;PHL;Lower middle income;Asia;South-eastern Asia;.;-1,8;6,7
Saint Martin;MAF;High income;Americas;Latin America and the Caribbean;.;-6;.
Saudi Arabia;SAU;High income;Asia;Western Asia;.;4,7;28,8
Sint Maarten;SXM;High income;Americas;Latin America and the Caribbean;.;6;.
Somalia;SOM;Low income;Africa;Sub-Saharan Africa;.;-3,8;.
St. Barthélemy;BLM;.;Americas;Latin America and the Caribbean;.;-3;.
St. Helena;SHN;.;Africa;Sub-Saharan Africa;.;0;.
St. Pierre & Miquelon;SPM;.;Americas;Northern America;.;-7,7;.
Sudan;SDN;Low income;Africa;Northern Africa;.;-0,4;.
Suriname;SUR;Upper middle income;Americas;Latin America and the Caribbean;.;0,5;13,4
Syria;SYR;Low income;Asia;Western Asia;.;27,1;35,8
Taiwan;TWN;High income;Asia;Eastern Asia;.;0,8;.
Tonga;TON;Upper middle income;Oceania;Polynesia;.;-17,9;.
Trinidad & Tobago;TTO;High income;Americas;Latin America and the Caribbean;.;-5,4;8,7
Tuvalu;TUV;Upper middle income;Oceania;Polynesia;.;-6,5;20,6
United Arab Emirates;ARE;High income;Asia;Western Asia;.;7,6;6,9
Venezuela;VEN;.;Americas;Latin America and the Caribbean;.;-3,4;14,6
Virgin Islands;VIR;High income;Americas;Latin America and the Caribbean;.;-7,5;.
Wallis & Futuna;WLF;.;Oceania;Polynesia;.;-4,3;.
Yemen;YEM;Low income;Asia;Western Asia;.;-0,2;24,5
